id,project_id,reference_month,generation_type,generation_value_kwh,generation_version_control_id,created_at,updated_at
17,PRJ_001,2023-08-01,PVSyst,"6.417,78",GVC_0001,2023-08-06 10:00,2023-08-07 15:00
18,PRJ_001,2023-09-01,PVSyst,"6.900,84",GVC_0001,2023-09-06 10:00,2023-09-07 15:00
19,PRJ_001,2023-10-01,PVSyst,"7.452,91",GVC_0001,2023-10-06 10:00,2023-10-07 15:00
20,PRJ_001,2023-11-01,PVSyst,"7.797,95",GVC_0001,2023-11-06 10:00,2023-11-07 15:00
21,PRJ_001,2023-12-01,PVSyst,"8.488,03",GVC_0001,2023-12-06 10:00,2023-12-07 15:00
22,PRJ_001,2024-01-01,PVSyst,"7.107,87",GVC_0001,2024-01-06 10:00,2024-01-07 15:00
23,PRJ_001,2024-02-01,PVSyst,"6.762,82",GVC_0001,2024-02-06 10:00,2024-02-07 15:00
24,PRJ_001,2024-03-01,PVSyst,"6.900,84",GVC_0001,2024-03-06 10:00,2024-03-07 15:00
25,PRJ_001,2024-04-01,PVSyst,"6.317,03",GVC_0001,2024-04-06 10:00,2024-04-07 15:00
26,PRJ_001,2024-05-01,PVSyst,"5.905,05",GVC_0001,2024-05-06 10:00,2024-05-07 15:00
27,PRJ_001,2024-06-01,PVSyst,"5.493,07",GVC_0001,2024-06-06 10:00,2024-06-07 15:00
28,PRJ_001,2024-07-01,PVSyst,"5.767,72",GVC_0001,2024-07-06 10:00,2024-07-07 15:00
29,PRJ_001,2024-08-01,PVSyst,"6.385,69",GVC_0001,2024-08-06 10:00,2024-08-07 15:00
30,PRJ_001,2024-09-01,PVSyst,"6.866,34",GVC_0001,2024-09-06 10:00,2024-09-07 15:00
31,PRJ_001,2024-10-01,PVSyst,"7.415,64",GVC_0001,2024-10-06 10:00,2024-10-07 15:00
32,PRJ_001,2024-11-01,PVSyst,"7.758,96",GVC_0001,2024-11-06 10:00,2024-11-07 15:00
33,PRJ_001,2024-12-01,PVSyst,"8.445,59",GVC_0001,2024-12-06 10:00,2024-12-07 15:00
34,PRJ_001,2025-01-01,PVSyst,"7.072,33",GVC_0001,2025-01-06 10:00,2025-01-07 15:00
35,PRJ_001,2025-02-01,PVSyst,"6.729,01",GVC_0001,2025-02-06 10:00,2025-02-07 15:00
36,PRJ_001,2025-03-01,PVSyst,"6.866,34",GVC_0001,2025-03-06 10:00,2025-03-07 15:00
37,PRJ_001,2025-04-01,PVSyst,"6.285,44",GVC_0001,2025-04-06 10:00,2025-04-07 15:00
38,PRJ_001,2025-05-01,PVSyst,"5.875,52",GVC_0001,2025-05-06 10:00,2025-05-07 15:00
39,PRJ_001,2025-06-01,PVSyst,"5.465,60",GVC_0001,2025-06-06 10:00,2025-06-07 15:00
40,PRJ_001,2025-07-01,PVSyst,"5.738,88",GVC_0001,2025-07-06 10:00,2025-07-07 15:00
41,PRJ_001,2025-08-01,PVSyst,"6.353,76",GVC_0001,2025-08-06 10:00,2025-08-07 15:00
42,PRJ_001,2025-09-01,PVSyst,"6.832,00",GVC_0001,2025-09-06 10:00,2025-09-07 15:00
43,PRJ_001,2025-10-01,PVSyst,"7.378,56",GVC_0001,2025-10-06 10:00,2025-10-07 15:00
44,PRJ_001,2025-11-01,PVSyst,"7.720,16",GVC_0001,2025-11-06 10:00,2025-11-07 15:00
45,PRJ_001,2025-12-01,PVSyst,"8.403,37",GVC_0001,2025-12-06 10:00,2025-12-07 15:00
46,PRJ_001,2026-01-01,PVSyst,"7.036,96",GVC_0001,2026-01-06 10:00,2026-01-07 15:00
47,PRJ_001,2026-02-01,PVSyst,"6.695,36",GVC_0001,2026-02-06 10:00,2026-02-07 15:00
48,PRJ_001,2026-03-01,PVSyst,"6.832,00",GVC_0001,2026-03-06 10:00,2026-03-07 15:00
49,PRJ_001,2026-04-01,PVSyst,"6.254,02",GVC_0001,2026-04-06 10:00,2026-04-07 15:00
50,PRJ_001,2026-05-01,PVSyst,"5.846,15",GVC_0001,2026-05-06 10:00,2026-05-07 15:00
51,PRJ_001,2026-06-01,PVSyst,"5.438,28",GVC_0001,2026-06-06 10:00,2026-06-07 15:00
52,PRJ_001,2026-07-01,PVSyst,"5.710,19",GVC_0001,2026-07-06 10:00,2026-07-07 15:00
53,PRJ_001,2026-08-01,PVSyst,"6.322,00",GVC_0001,2026-08-06 10:00,2026-08-07 15:00
54,PRJ_001,2026-09-01,PVSyst,"6.797,84",GVC_0001,2026-09-06 10:00,2026-09-07 15:00
55,PRJ_001,2026-10-01,PVSyst,"7.341,67",GVC_0001,2026-10-06 10:00,2026-10-07 15:00
56,PRJ_001,2026-11-01,PVSyst,"7.681,56",GVC_0001,2026-11-06 10:00,2026-11-07 15:00
57,PRJ_001,2026-12-01,PVSyst,"8.361,35",GVC_0001,2026-12-06 10:00,2026-12-07 15:00
58,PRJ_001,2027-01-01,PVSyst,"7.001,78",GVC_0001,2027-01-06 10:00,2027-01-07 15:00
59,PRJ_001,2027-02-01,PVSyst,"6.661,89",GVC_0001,2027-02-06 10:00,2027-02-07 15:00
60,PRJ_001,2027-03-01,PVSyst,"6.797,84",GVC_0001,2027-03-06 10:00,2027-03-07 15:00
61,PRJ_001,2027-04-01,PVSyst,"6.222,75",GVC_0001,2027-04-06 10:00,2027-04-07 15:00
62,PRJ_001,2027-05-01,PVSyst,"5.816,92",GVC_0001,2027-05-06 10:00,2027-05-07 15:00
63,PRJ_001,2027-06-01,PVSyst,"5.411,08",GVC_0001,2027-06-06 10:00,2027-06-07 15:00
64,PRJ_001,2027-07-01,PVSyst,"5.681,64",GVC_0001,2027-07-06 10:00,2027-07-07 15:00
65,PRJ_001,2027-08-01,PVSyst,"6.290,39",GVC_0001,2027-08-06 10:00,2027-08-07 15:00
66,PRJ_001,2027-09-01,PVSyst,"6.763,86",GVC_0001,2027-09-06 10:00,2027-09-07 15:00
67,PRJ_001,2027-10-01,PVSyst,"7.304,96",GVC_0001,2027-10-06 10:00,2027-10-07 15:00
68,PRJ_001,2027-11-01,PVSyst,"7.643,16",GVC_0001,2027-11-06 10:00,2027-11-07 15:00
69,PRJ_001,2027-12-01,PVSyst,"8.319,54",GVC_0001,2027-12-06 10:00,2027-12-07 15:00
70,PRJ_001,2028-01-01,PVSyst,"6.966,77",GVC_0001,2028-01-06 10:00,2028-01-07 15:00
71,PRJ_001,2028-02-01,PVSyst,"6.628,58",GVC_0001,2028-02-06 10:00,2028-02-07 15:00
72,PRJ_001,2028-03-01,PVSyst,"6.763,86",GVC_0001,2028-03-06 10:00,2028-03-07 15:00
73,PRJ_001,2028-04-01,PVSyst,"6.191,63",GVC_0001,2028-04-06 10:00,2028-04-07 15:00
74,PRJ_001,2028-05-01,PVSyst,"5.787,83",GVC_0001,2028-05-06 10:00,2028-05-07 15:00
75,PRJ_001,2028-06-01,PVSyst,"5.384,03",GVC_0001,2028-06-06 10:00,2028-06-07 15:00
76,PRJ_001,2028-07-01,PVSyst,"5.653,23",GVC_0001,2028-07-06 10:00,2028-07-07 15:00
77,PRJ_001,2028-08-01,PVSyst,"6.258,93",GVC_0001,2028-08-06 10:00,2028-08-07 15:00
78,PRJ_001,2028-09-01,PVSyst,"6.730,04",GVC_0001,2028-09-06 10:00,2028-09-07 15:00
79,PRJ_001,2028-10-01,PVSyst,"7.268,44",GVC_0001,2028-10-06 10:00,2028-10-07 15:00
80,PRJ_001,2028-11-01,PVSyst,"7.604,94",GVC_0001,2028-11-06 10:00,2028-11-07 15:00
81,PRJ_001,2028-12-01,PVSyst,"8.277,94",GVC_0001,2028-12-06 10:00,2028-12-07 15:00
82,PRJ_001,2029-01-01,PVSyst,"6.931,94",GVC_0001,2029-01-06 10:00,2029-01-07 15:00
83,PRJ_001,2029-02-01,PVSyst,"6.595,44",GVC_0001,2029-02-06 10:00,2029-02-07 15:00
84,PRJ_001,2029-03-01,PVSyst,"6.730,04",GVC_0001,2029-03-06 10:00,2029-03-07 15:00
85,PRJ_001,2029-04-01,PVSyst,"6.160,67",GVC_0001,2029-04-06 10:00,2029-04-07 15:00
86,PRJ_001,2029-05-01,PVSyst,"5.758,89",GVC_0001,2029-05-06 10:00,2029-05-07 15:00
87,PRJ_001,2029-06-01,PVSyst,"5.357,11",GVC_0001,2029-06-06 10:00,2029-06-07 15:00
88,PRJ_001,2029-07-01,PVSyst,"5.624,96",GVC_0001,2029-07-06 10:00,2029-07-07 15:00
89,PRJ_001,2029-08-01,PVSyst,"6.227,64",GVC_0001,2029-08-06 10:00,2029-08-07 15:00
90,PRJ_001,2029-09-01,PVSyst,"6.696,39",GVC_0001,2029-09-06 10:00,2029-09-07 15:00
91,PRJ_001,2029-10-01,PVSyst,"7.232,10",GVC_0001,2029-10-06 10:00,2029-10-07 15:00
92,PRJ_001,2029-11-01,PVSyst,"7.566,92",GVC_0001,2029-11-06 10:00,2029-11-07 15:00
93,PRJ_001,2029-12-01,PVSyst,"8.236,55",GVC_0001,2029-12-06 10:00,2029-12-07 15:00
94,PRJ_001,2030-01-01,PVSyst,"6.897,28",GVC_0001,2030-01-06 10:00,2030-01-07 15:00
95,PRJ_001,2030-02-01,PVSyst,"6.562,46",GVC_0001,2030-02-06 10:00,2030-02-07 15:00
96,PRJ_001,2030-03-01,PVSyst,"6.696,39",GVC_0001,2030-03-06 10:00,2030-03-07 15:00
97,PRJ_001,2030-04-01,PVSyst,"6.129,87",GVC_0001,2030-04-06 10:00,2030-04-07 15:00
98,PRJ_001,2030-05-01,PVSyst,"5.730,10",GVC_0001,2030-05-06 10:00,2030-05-07 15:00
99,PRJ_001,2030-06-01,PVSyst,"5.330,32",GVC_0001,2030-06-06 10:00,2030-06-07 15:00
100,PRJ_001,2030-07-01,PVSyst,"5.596,84",GVC_0001,2030-07-06 10:00,2030-07-07 15:00
101,PRJ_001,2030-08-01,PVSyst,"6.196,50",GVC_0001,2030-08-06 10:00,2030-08-07 15:00
102,PRJ_001,2030-09-01,PVSyst,"6.662,90",GVC_0001,2030-09-06 10:00,2030-09-07 15:00
103,PRJ_001,2030-10-01,PVSyst,"7.195,94",GVC_0001,2030-10-06 10:00,2030-10-07 15:00
104,PRJ_001,2030-11-01,PVSyst,"7.529,08",GVC_0001,2030-11-06 10:00,2030-11-07 15:00
105,PRJ_001,2030-12-01,PVSyst,"8.195,37",GVC_0001,2030-12-06 10:00,2030-12-07 15:00
106,PRJ_001,2031-01-01,PVSyst,"6.862,79",GVC_0001,2031-01-06 10:00,2031-01-07 15:00
107,PRJ_001,2031-02-01,PVSyst,"6.529,65",GVC_0001,2031-02-06 10:00,2031-02-07 15:00
108,PRJ_001,2031-03-01,PVSyst,"6.662,90",GVC_0001,2031-03-06 10:00,2031-03-07 15:00
109,PRJ_001,2031-04-01,PVSyst,"6.099,22",GVC_0001,2031-04-06 10:00,2031-04-07 15:00
110,PRJ_001,2031-05-01,PVSyst,"5.701,45",GVC_0001,2031-05-06 10:00,2031-05-07 15:00
111,PRJ_001,2031-06-01,PVSyst,"5.303,67",GVC_0001,2031-06-06 10:00,2031-06-07 15:00
112,PRJ_001,2031-07-01,PVSyst,"5.568,85",GVC_0001,2031-07-06 10:00,2031-07-07 15:00
113,PRJ_001,2031-08-01,PVSyst,"6.165,52",GVC_0001,2031-08-06 10:00,2031-08-07 15:00
114,PRJ_001,2031-09-01,PVSyst,"6.629,59",GVC_0001,2031-09-06 10:00,2031-09-07 15:00
115,PRJ_001,2031-10-01,PVSyst,"7.159,96",GVC_0001,2031-10-06 10:00,2031-10-07 15:00
116,PRJ_001,2031-11-01,PVSyst,"7.491,44",GVC_0001,2031-11-06 10:00,2031-11-07 15:00
117,PRJ_001,2031-12-01,PVSyst,"8.154,39",GVC_0001,2031-12-06 10:00,2031-12-07 15:00
118,PRJ_001,2032-01-01,PVSyst,"6.828,48",GVC_0001,2032-01-06 10:00,2032-01-07 15:00
119,PRJ_001,2032-02-01,PVSyst,"6.497,00",GVC_0001,2032-02-06 10:00,2032-02-07 15:00
120,PRJ_001,2032-03-01,PVSyst,"6.629,59",GVC_0001,2032-03-06 10:00,2032-03-07 15:00
121,PRJ_001,2032-04-01,PVSyst,"6.068,73",GVC_0001,2032-04-06 10:00,2032-04-07 15:00
122,PRJ_001,2032-05-01,PVSyst,"5.672,94",GVC_0001,2032-05-06 10:00,2032-05-07 15:00
123,PRJ_001,2032-06-01,PVSyst,"5.277,15",GVC_0001,2032-06-06 10:00,2032-06-07 15:00
124,PRJ_001,2032-07-01,PVSyst,"5.541,01",GVC_0001,2032-07-06 10:00,2032-07-07 15:00
125,PRJ_001,2032-08-01,PVSyst,"6.134,69",GVC_0001,2032-08-06 10:00,2032-08-07 15:00
126,PRJ_001,2032-09-01,PVSyst,"6.596,44",GVC_0001,2032-09-06 10:00,2032-09-07 15:00
127,PRJ_001,2032-10-01,PVSyst,"7.124,16",GVC_0001,2032-10-06 10:00,2032-10-07 15:00
128,PRJ_001,2032-11-01,PVSyst,"7.453,98",GVC_0001,2032-11-06 10:00,2032-11-07 15:00
129,PRJ_001,2032-12-01,PVSyst,"8.113,62",GVC_0001,2032-12-06 10:00,2032-12-07 15:00
130,PRJ_001,2033-01-01,PVSyst,"6.794,33",GVC_0001,2033-01-06 10:00,2033-01-07 15:00
131,PRJ_001,2033-02-01,PVSyst,"6.464,51",GVC_0001,2033-02-06 10:00,2033-02-07 15:00
132,PRJ_001,2033-03-01,PVSyst,"6.596,44",GVC_0001,2033-03-06 10:00,2033-03-07 15:00
133,PRJ_001,2033-04-01,PVSyst,"6.038,38",GVC_0001,2033-04-06 10:00,2033-04-07 15:00
134,PRJ_001,2033-05-01,PVSyst,"5.644,57",GVC_0001,2033-05-06 10:00,2033-05-07 15:00
135,PRJ_001,2033-06-01,PVSyst,"5.250,77",GVC_0001,2033-06-06 10:00,2033-06-07 15:00
136,PRJ_001,2033-07-01,PVSyst,"5.513,31",GVC_0001,2033-07-06 10:00,2033-07-07 15:00
137,PRJ_001,2033-08-01,PVSyst,"6.104,02",GVC_0001,2033-08-06 10:00,2033-08-07 15:00
138,PRJ_001,2033-09-01,PVSyst,"6.563,46",GVC_0001,2033-09-06 10:00,2033-09-07 15:00
139,PRJ_001,2033-10-01,PVSyst,"7.088,54",GVC_0001,2033-10-06 10:00,2033-10-07 15:00
140,PRJ_001,2033-11-01,PVSyst,"7.416,71",GVC_0001,2033-11-06 10:00,2033-11-07 15:00
141,PRJ_001,2033-12-01,PVSyst,"8.073,05",GVC_0001,2033-12-06 10:00,2033-12-07 15:00
142,PRJ_001,2034-01-01,PVSyst,"6.760,36",GVC_0001,2034-01-06 10:00,2034-01-07 15:00
143,PRJ_001,2034-02-01,PVSyst,"6.432,19",GVC_0001,2034-02-06 10:00,2034-02-07 15:00
144,PRJ_001,2034-03-01,PVSyst,"6.563,46",GVC_0001,2034-03-06 10:00,2034-03-07 15:00
145,PRJ_001,2034-04-01,PVSyst,"6.008,19",GVC_0001,2034-04-06 10:00,2034-04-07 15:00
146,PRJ_001,2034-05-01,PVSyst,"5.616,35",GVC_0001,2034-05-06 10:00,2034-05-07 15:00
147,PRJ_001,2034-06-01,PVSyst,"5.224,51",GVC_0001,2034-06-06 10:00,2034-06-07 15:00
148,PRJ_001,2034-07-01,PVSyst,"5.485,74",GVC_0001,2034-07-06 10:00,2034-07-07 15:00
149,PRJ_001,2034-08-01,PVSyst,"6.073,50",GVC_0001,2034-08-06 10:00,2034-08-07 15:00
150,PRJ_001,2034-09-01,PVSyst,"6.530,64",GVC_0001,2034-09-06 10:00,2034-09-07 15:00
151,PRJ_001,2034-10-01,PVSyst,"7.053,09",GVC_0001,2034-10-06 10:00,2034-10-07 15:00
152,PRJ_001,2034-11-01,PVSyst,"7.379,63",GVC_0001,2034-11-06 10:00,2034-11-07 15:00
153,PRJ_001,2034-12-01,PVSyst,"8.032,69",GVC_0001,2034-12-06 10:00,2034-12-07 15:00
154,PRJ_001,2035-01-01,PVSyst,"6.726,56",GVC_0001,2035-01-06 10:00,2035-01-07 15:00
155,PRJ_001,2035-02-01,PVSyst,"6.400,03",GVC_0001,2035-02-06 10:00,2035-02-07 15:00
156,PRJ_001,2035-03-01,PVSyst,"6.530,64",GVC_0001,2035-03-06 10:00,2035-03-07 15:00
157,PRJ_001,2035-04-01,PVSyst,"5.978,15",GVC_0001,2035-04-06 10:00,2035-04-07 15:00
158,PRJ_001,2035-05-01,PVSyst,"5.588,27",GVC_0001,2035-05-06 10:00,2035-05-07 15:00
159,PRJ_001,2035-06-01,PVSyst,"5.198,39",GVC_0001,2035-06-06 10:00,2035-06-07 15:00
160,PRJ_001,2035-07-01,PVSyst,"5.458,31",GVC_0001,2035-07-06 10:00,2035-07-07 15:00
161,PRJ_001,2035-08-01,PVSyst,"6.043,13",GVC_0001,2035-08-06 10:00,2035-08-07 15:00
162,PRJ_001,2035-09-01,PVSyst,"6.497,99",GVC_0001,2035-09-06 10:00,2035-09-07 15:00
163,PRJ_001,2035-10-01,PVSyst,"7.017,83",GVC_0001,2035-10-06 10:00,2035-10-07 15:00
164,PRJ_001,2035-11-01,PVSyst,"7.342,73",GVC_0001,2035-11-06 10:00,2035-11-07 15:00
165,PRJ_001,2035-12-01,PVSyst,"7.992,53",GVC_0001,2035-12-06 10:00,2035-12-07 15:00
166,PRJ_001,2036-01-01,PVSyst,"6.692,93",GVC_0001,2036-01-06 10:00,2036-01-07 15:00
167,PRJ_001,2036-02-01,PVSyst,"6.368,03",GVC_0001,2036-02-06 10:00,2036-02-07 15:00
168,PRJ_001,2036-03-01,PVSyst,"6.497,99",GVC_0001,2036-03-06 10:00,2036-03-07 15:00
169,PRJ_001,2036-04-01,PVSyst,"5.948,26",GVC_0001,2036-04-06 10:00,2036-04-07 15:00
170,PRJ_001,2036-05-01,PVSyst,"5.560,33",GVC_0001,2036-05-06 10:00,2036-05-07 15:00
171,PRJ_001,2036-06-01,PVSyst,"5.172,40",GVC_0001,2036-06-06 10:00,2036-06-07 15:00
172,PRJ_001,2036-07-01,PVSyst,"5.431,02",GVC_0001,2036-07-06 10:00,2036-07-07 15:00
173,PRJ_001,2036-08-01,PVSyst,"6.012,91",GVC_0001,2036-08-06 10:00,2036-08-07 15:00
174,PRJ_001,2036-09-01,PVSyst,"6.465,50",GVC_0001,2036-09-06 10:00,2036-09-07 15:00
175,PRJ_001,2036-10-01,PVSyst,"6.982,74",GVC_0001,2036-10-06 10:00,2036-10-07 15:00
176,PRJ_001,2036-11-01,PVSyst,"7.306,01",GVC_0001,2036-11-06 10:00,2036-11-07 15:00
177,PRJ_001,2036-12-01,PVSyst,"7.952,56",GVC_0001,2036-12-06 10:00,2036-12-07 15:00
178,PRJ_001,2037-01-01,PVSyst,"6.659,46",GVC_0001,2037-01-06 10:00,2037-01-07 15:00
179,PRJ_001,2037-02-01,PVSyst,"6.336,19",GVC_0001,2037-02-06 10:00,2037-02-07 15:00
180,PRJ_001,2037-03-01,PVSyst,"6.465,50",GVC_0001,2037-03-06 10:00,2037-03-07 15:00
181,PRJ_001,2037-04-01,PVSyst,"5.918,52",GVC_0001,2037-04-06 10:00,2037-04-07 15:00
182,PRJ_001,2037-05-01,PVSyst,"5.532,53",GVC_0001,2037-05-06 10:00,2037-05-07 15:00
183,PRJ_001,2037-06-01,PVSyst,"5.146,54",GVC_0001,2037-06-06 10:00,2037-06-07 15:00
184,PRJ_001,2037-07-01,PVSyst,"5.403,86",GVC_0001,2037-07-06 10:00,2037-07-07 15:00
185,PRJ_001,2037-08-01,PVSyst,"5.982,85",GVC_0001,2037-08-06 10:00,2037-08-07 15:00
186,PRJ_001,2037-09-01,PVSyst,"6.433,17",GVC_0001,2037-09-06 10:00,2037-09-07 15:00
187,PRJ_001,2037-10-01,PVSyst,"6.947,82",GVC_0001,2037-10-06 10:00,2037-10-07 15:00
188,PRJ_001,2037-11-01,PVSyst,"7.269,48",GVC_0001,2037-11-06 10:00,2037-11-07 15:00
189,PRJ_001,2037-12-01,PVSyst,"7.912,80",GVC_0001,2037-12-06 10:00,2037-12-07 15:00
190,PRJ_001,2038-01-01,PVSyst,"6.626,17",GVC_0001,2038-01-06 10:00,2038-01-07 15:00
191,PRJ_001,2038-02-01,PVSyst,"6.304,51",GVC_0001,2038-02-06 10:00,2038-02-07 15:00
192,PRJ_001,2038-03-01,PVSyst,"6.433,17",GVC_0001,2038-03-06 10:00,2038-03-07 15:00
193,PRJ_001,2038-04-01,PVSyst,"5.888,92",GVC_0001,2038-04-06 10:00,2038-04-07 15:00
194,PRJ_001,2038-05-01,PVSyst,"5.504,86",GVC_0001,2038-05-06 10:00,2038-05-07 15:00
195,PRJ_001,2038-06-01,PVSyst,"5.120,80",GVC_0001,2038-06-06 10:00,2038-06-07 15:00
196,PRJ_001,2038-07-01,PVSyst,"5.376,84",GVC_0001,2038-07-06 10:00,2038-07-07 15:00
197,PRJ_001,2038-08-01,PVSyst,"5.952,93",GVC_0001,2038-08-06 10:00,2038-08-07 15:00
198,PRJ_001,2038-09-01,PVSyst,"6.401,01",GVC_0001,2038-09-06 10:00,2038-09-07 15:00
199,PRJ_001,2038-10-01,PVSyst,"6.913,09",GVC_0001,2038-10-06 10:00,2038-10-07 15:00
200,PRJ_001,2038-11-01,PVSyst,"7.233,14",GVC_0001,2038-11-06 10:00,2038-11-07 15:00
201,PRJ_001,2038-12-01,PVSyst,"7.873,24",GVC_0001,2038-12-06 10:00,2038-12-07 15:00
202,PRJ_001,2039-01-01,PVSyst,"6.593,04",GVC_0001,2039-01-06 10:00,2039-01-07 15:00
203,PRJ_001,2039-02-01,PVSyst,"6.272,99",GVC_0001,2039-02-06 10:00,2039-02-07 15:00
204,PRJ_001,2039-03-01,PVSyst,"6.401,01",GVC_0001,2039-03-06 10:00,2039-03-07 15:00
205,PRJ_001,2039-04-01,PVSyst,"5.859,48",GVC_0001,2039-04-06 10:00,2039-04-07 15:00
206,PRJ_001,2039-05-01,PVSyst,"5.477,34",GVC_0001,2039-05-06 10:00,2039-05-07 15:00
207,PRJ_001,2039-06-01,PVSyst,"5.095,20",GVC_0001,2039-06-06 10:00,2039-06-07 15:00
208,PRJ_001,2039-07-01,PVSyst,"5.349,96",GVC_0001,2039-07-06 10:00,2039-07-07 15:00
209,PRJ_001,2039-08-01,PVSyst,"5.923,17",GVC_0001,2039-08-06 10:00,2039-08-07 15:00
210,PRJ_001,2039-09-01,PVSyst,"6.369,00",GVC_0001,2039-09-06 10:00,2039-09-07 15:00
211,PRJ_001,2039-10-01,PVSyst,"6.878,52",GVC_0001,2039-10-06 10:00,2039-10-07 15:00
212,PRJ_001,2039-11-01,PVSyst,"7.196,97",GVC_0001,2039-11-06 10:00,2039-11-07 15:00
213,PRJ_001,2039-12-01,PVSyst,"7.833,87",GVC_0001,2039-12-06 10:00,2039-12-07 15:00
214,PRJ_001,2040-01-01,PVSyst,"6.560,07",GVC_0001,2040-01-06 10:00,2040-01-07 15:00
215,PRJ_001,2040-02-01,PVSyst,"6.241,62",GVC_0001,2040-02-06 10:00,2040-02-07 15:00
216,PRJ_001,2040-03-01,PVSyst,"6.369,00",GVC_0001,2040-03-06 10:00,2040-03-07 15:00
217,PRJ_001,2040-04-01,PVSyst,"5.830,18",GVC_0001,2040-04-06 10:00,2040-04-07 15:00
218,PRJ_001,2040-05-01,PVSyst,"5.449,95",GVC_0001,2040-05-06 10:00,2040-05-07 15:00
219,PRJ_001,2040-06-01,PVSyst,"5.069,72",GVC_0001,2040-06-06 10:00,2040-06-07 15:00
220,PRJ_001,2040-07-01,PVSyst,"5.323,21",GVC_0001,2040-07-06 10:00,2040-07-07 15:00
221,PRJ_001,2040-08-01,PVSyst,"5.893,55",GVC_0001,2040-08-06 10:00,2040-08-07 15:00
222,PRJ_001,2040-09-01,PVSyst,"6.337,16",GVC_0001,2040-09-06 10:00,2040-09-07 15:00
223,PRJ_001,2040-10-01,PVSyst,"6.844,13",GVC_0001,2040-10-06 10:00,2040-10-07 15:00
224,PRJ_001,2040-11-01,PVSyst,"7.160,99",GVC_0001,2040-11-06 10:00,2040-11-07 15:00
225,PRJ_001,2040-12-01,PVSyst,"7.794,70",GVC_0001,2040-12-06 10:00,2040-12-07 15:00
226,PRJ_001,2041-01-01,PVSyst,"6.527,27",GVC_0001,2041-01-06 10:00,2041-01-07 15:00
227,PRJ_001,2041-02-01,PVSyst,"6.210,41",GVC_0001,2041-02-06 10:00,2041-02-07 15:00
228,PRJ_001,2041-03-01,PVSyst,"6.337,16",GVC_0001,2041-03-06 10:00,2041-03-07 15:00
229,PRJ_001,2041-04-01,PVSyst,"5.801,03",GVC_0001,2041-04-06 10:00,2041-04-07 15:00
230,PRJ_001,2041-05-01,PVSyst,"5.422,70",GVC_0001,2041-05-06 10:00,2041-05-07 15:00
231,PRJ_001,2041-06-01,PVSyst,"5.044,38",GVC_0001,2041-06-06 10:00,2041-06-07 15:00
232,PRJ_001,2041-07-01,PVSyst,"5.296,59",GVC_0001,2041-07-06 10:00,2041-07-07 15:00
233,PRJ_001,2041-08-01,PVSyst,"5.864,09",GVC_0001,2041-08-06 10:00,2041-08-07 15:00
234,PRJ_001,2041-09-01,PVSyst,"6.305,47",GVC_0001,2041-09-06 10:00,2041-09-07 15:00
235,PRJ_001,2041-10-01,PVSyst,"6.809,91",GVC_0001,2041-10-06 10:00,2041-10-07 15:00
236,PRJ_001,2041-11-01,PVSyst,"7.125,18",GVC_0001,2041-11-06 10:00,2041-11-07 15:00
237,PRJ_001,2041-12-01,PVSyst,"7.755,73",GVC_0001,2041-12-06 10:00,2041-12-07 15:00
238,PRJ_001,2042-01-01,PVSyst,"6.494,63",GVC_0001,2042-01-06 10:00,2042-01-07 15:00
239,PRJ_001,2042-02-01,PVSyst,"6.179,36",GVC_0001,2042-02-06 10:00,2042-02-07 15:00
